Denumire,PretFMC,StocTKR,StocTKRM,RealimentareStoc
M/PAllviewX3soulplusgold,216,2,11,EOL-numairevine
M/PAllviewX3SoulStyleMochaGold,179,4,12,EOL-numairevine
M/PAllviewX4SoulBlack,267,1,9,EOL-numairevine
M/PAllviewX4SoulInfinity1Blue,139,10,48,Necunoscut
M/PAllviewX4SoulInfinity2Blue,168,4,10,Necunoscut
M/PAllviewX4SoulInfinity2Grey,168,5,5,Necunoscut
M/PAllviewX4SoulMiniSBlack,83,22,26,Necunoscut
M/PAllviewX4SoulMiniSBlue,83,14,35,Necunoscut
M/PAllviewX4VisionProjectorPhone,353,12,10,Necunoscut
M/PBlackberryDTEK50CarbonGrey,258,1,10,EOL-numairevine
M/PBlackberryDTEK60EarthSilver,457,2,10,EOL-numairevine
M/PBlackberryKeyone,489,0,15,Necunoscut
M/PCATB25,41,26,170,Necunoscut
M/PCATB30,57,11,30,EOL-numairevine
M/PCATS30,150,25,0,EOL-numairevine
M/PCATS60,536,2,24,Necunoscut
M/PHTCDesire10Lifestyleblack,221,0,0,EOL-numairevine
M/PHTCDesire10Lifestylewhite,221,1,8,EOL-numairevine
M/PHTCDesire530DarkGrey,132,3,24,EOL-numairevine
M/PHTCDesire650ArcticNight,116,6,117,Necunoscut
M/PHTCDesire650LimeLight,116,14,3,Necunoscut
M/PHTCDesire828DarkGrey,263,0,8,EOL-numairevine
M/PHTCDesire828PearlWhite,263,1,7,EOL-numairevine
M/PHTCOneA9Grey,239,1,0,EOL-numairevine
M/PHTCU11dualsimAmazingSilver,541,6,13,EOL-numairevine
M/PHTCU11dualsimBrillianBlack,541,6,19,Necunoscut
M/PHTCU11dualsimSapphireBlue,541,3,13,EOL-numairevine
M/PHTCU11LifeBrilliantBlack,284,14,19,Necunoscut
M/PHTCU11LifeSapphireBlue,284,0,0,Necunoscut
M/PHTCUPlayBrilliantBlack,284,0,12,EOL-numairevine
M/PHTCUPlaySapphireBlue,284,2,8,EOL-numairevine
M/PHTCUUltraBrilliantBlack,499,1,7,Necunoscut
M/PHuaweiAscendP8LiteDualSIMBlack,132,0,0,EOL-numairevine
M/PHuaweiAscendY530black,63,2,0,EOL-numairevine
M/PHuaweiMate10litedualsimblack,263,6,0,Necunoscut
M/PHuaweiMate10litedualsimgold,263,3,82,Necunoscut
M/PHuaweiNovaMysticSilver,300,0,0,EOL-numairevine
M/PHuaweiNovaPrestigeGold,300,0,6,EOL-numairevine
M/PHuaweiNovaTitaniumGrey,300,0,1,EOL-numairevine
M/PHuaweiP10DazzlingBlueDual,410,1,6,Necunoscut
M/PHuaweiP10GraphiteBlackDual,410,0,13,EOL-numairevine
M/PHuaweiP10GreeneryDual,410,1,11,Necunoscut
M/PHuaweiP10liteblackDual,195,6,67,Necunoscut
M/PHuaweiP10litegoldDual,195,7,41,Necunoscut
M/PHuaweiP10liteSapphireBlueDual,195,14,61,Necunoscut
M/PHuaweiP10plusGraphiteBlack,578,0,0,Necunoscut
M/PHuaweiP9Lite2017blackDual,168,58,86,Necunoscut
M/PHuaweiP9Lite2017goldDual,168,7,87,Necunoscut
M/PHuaweiP9liteminidualsimblack,116,57,40,Necunoscut
M/PHuaweiP9liteminidualsimgold,116,66,60,Necunoscut
M/PHuaweiP9liteminidualsimsilver,116,68,166,Necunoscut
M/PHuaweiY5IIBlackdualsim,84,0,0,EOL-numairevine
M/PHuaweiY6IIBlackdualsim,132,1,0,EOL-numairevine
M/PiPhone6s16GBGold,599,0,15,EOL-numairevine
M/PiPhone6s16GBRoseGold,599,0,8,EOL-numairevine
M/PiPhone6s16GBSilver,599,2,0,EOL-numairevine
M/PIphone6s32GBGold,531,0,14,EOL-numairevine
M/PIphone6s32GBSpaceGrey,531,0,19,EOL-numairevine
M/PiPhone6sPlus128GBSpaceGray,851,0,24,EOL-numairevine
M/PiPhone6sPlus64GBSpaceGray,767,0,6,EOL-numairevine
M/PIphone7128GBBlack,662,8,1,EOL-numairevine
M/PIphone7128GBGold,662,0,35,EOL-numairevine
M/PIphone7128GBJetBlack,662,1,4,EOL-numairevine
M/PIphone7128GBRoseGold,662,0,16,EOL-numairevine
M/PIphone7128GBSilver,662,4,0,EOL-numairevine
M/PIphone7256GBBlack,756,2,16,EOL-numairevine
M/PIphone7256GBGold,756,2,36,EOL-numairevine
M/PIphone7256GBJetBlack,756,1,20,EOL-numairevine
M/PiPhone7256GBREDSpecialEdition,756,4,5,EOL-numairevine
M/PIphone7256GBRoseGold,756,4,29,EOL-numairevine
M/PIphone7256GBSilver,756,3,36,EOL-numairevine
M/PIphone732GBBlack,567,379,0,Necunoscut
M/PIphone732GBGold,567,0,0,EOL-numairevine
M/PIphone732GBSilver,567,0,0,EOL-numairevine
M/PIphone7plus128GBGold,777,0,7,EOL-numairevine
M/PIphone7plus128GBJetBlack,777,0,10,EOL-numairevine
M/PIphone7plus128GBRED,777,0,3,EOL-numairevine
M/PIphone7plus128GBRoseGold,777,0,5,EOL-numairevine
M/PIphone7plus128GBSilver,777,1,35,EOL-numairevine
M/PIphone7plus256GBBlack,872,0,13,EOL-numairevine
M/PIphone7plus256GBGold,872,0,19,EOL-numairevine
M/PIphone7plus256GBJetBlack,872,0,33,EOL-numairevine
M/PiPhone7plus256GBREDSpecialEd,872,1,10,EOL-numairevine
M/PIphone7plus256GBRoseGold,872,0,30,EOL-numairevine
M/PIphone7plus256GBSilver,872,0,30,EOL-numairevine
M/PiPhone8256GBGold,793,15,1,Necunoscut
M/PiPhone8256GBSilver,793,22,52,Necunoscut
M/PiPhone8256GBSpaceGrey,793,7,5,Necunoscut
M/PiPhone864GBSpaceGrey,657,1,120,Necunoscut
M/PiPhone8Plus256GBGold,888,20,0,Necunoscut
M/PiPhone8Plus256GBSilver,888,0,0,Necunoscut
M/PiPhone8Plus256GBSpaceGrey,888,0,0,Necunoscut
